               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.018091,           0.0097002,           0.0015688,             0.99812,             0.99707,             0.99424,             0.79097,            0.013256,           0.0062947,          0.00029369,           0.0063432,           0.0063432,           0.0063432
                  46,            0.018757,             0.01007,          0.00093575,             0.99645,             0.99841,             0.99412,             0.79051,            0.013444,           0.0062957,          0.00031258,            0.006204,            0.006204,            0.006204
                  47,            0.018016,           0.0097498,           0.0011627,              0.9964,             0.99834,             0.99447,             0.79598,             0.01302,           0.0061497,          0.00033601,            0.006064,            0.006064,            0.006064
                  48,            0.017688,           0.0097874,           0.0012734,             0.99662,             0.99843,             0.99449,             0.80494,            0.012737,           0.0060808,          0.00030029,           0.0059235,           0.0059235,           0.0059235
                  49,            0.018284,           0.0098467,          0.00095294,             0.99771,              0.9992,             0.99446,             0.80473,            0.012689,           0.0060784,          0.00031601,           0.0057826,           0.0057826,           0.0057826
                  50,            0.017922,            0.009786,           0.0015935,             0.99624,             0.99921,              0.9944,              0.8043,            0.012536,           0.0060536,          0.00029509,           0.0056413,           0.0056413,           0.0056413
                  51,            0.017827,           0.0097448,            0.001476,             0.99676,             0.99806,             0.99403,             0.79859,             0.01277,           0.0061048,          0.00031643,              0.0055,              0.0055,              0.0055
                  52,            0.017549,           0.0097626,           0.0013638,             0.99807,             0.99778,             0.99471,              0.8032,            0.012672,           0.0060265,          0.00028454,           0.0053587,           0.0053587,           0.0053587
                  53,            0.017437,           0.0095329,            0.001056,             0.99645,             0.99746,             0.99465,              0.8075,             0.01246,           0.0059846,          0.00026474,           0.0052174,           0.0052174,           0.0052174
                  54,            0.017823,           0.0094359,           0.0010926,             0.99764,             0.99865,             0.99448,             0.80503,            0.012472,           0.0060299,          0.00033885,           0.0050765,           0.0050765,           0.0050765
                  55,            0.017538,           0.0097358,          0.00092047,             0.99831,             0.99854,             0.99445,              0.8083,              0.0125,           0.0059541,          0.00030525,            0.004936,            0.004936,            0.004936
                  56,            0.017365,           0.0095741,           0.0010269,              0.9988,             0.99752,             0.99439,             0.81065,            0.012069,           0.0059109,          0.00026377,            0.004796,            0.004796,            0.004796
                  57,            0.017101,           0.0095453,          0.00075058,             0.99856,             0.99672,             0.99411,             0.81022,            0.012104,           0.0058601,          0.00028396,           0.0046568,           0.0046568,           0.0046568
                  58,            0.016838,           0.0095659,           0.0015885,             0.99883,              0.9973,             0.99471,              0.8098,            0.012129,           0.0058427,          0.00026365,           0.0045184,           0.0045184,           0.0045184
                  59,            0.016743,           0.0093504,           0.0011392,             0.99671,              0.9973,             0.99476,             0.80748,            0.012125,           0.0058894,          0.00026621,           0.0043809,           0.0043809,           0.0043809
                  60,             0.01623,           0.0090076,           0.0013966,             0.99665,             0.99786,             0.99467,             0.81469,             0.01207,            0.005802,          0.00026485,           0.0042445,           0.0042445,           0.0042445
                  61,            0.016384,            0.009344,          0.00083841,             0.99614,              0.9973,             0.99477,             0.81355,            0.012056,           0.0058171,          0.00023806,           0.0041094,           0.0041094,           0.0041094
                  62,            0.016795,           0.0093227,          0.00070748,             0.99667,             0.99865,             0.99473,             0.81672,            0.011875,           0.0057452,          0.00021635,           0.0039757,           0.0039757,           0.0039757
                  63,            0.016371,            0.009156,          0.00091445,             0.99831,             0.99729,             0.99457,             0.81995,            0.011832,           0.0058201,           0.0002301,           0.0038434,           0.0038434,           0.0038434
                  64,            0.016185,           0.0092639,          0.00098695,             0.99594,             0.99822,             0.99455,             0.82224,            0.011658,            0.005706,          0.00023684,           0.0037128,           0.0037128,           0.0037128
                  65,            0.016235,           0.0093447,          0.00098377,             0.99752,             0.99674,             0.99459,             0.82447,            0.011702,           0.0057226,          0.00025649,            0.003584,            0.003584,            0.003584
                  66,            0.016428,           0.0094677,           0.0011263,             0.99827,             0.99673,             0.99483,             0.82529,            0.011515,           0.0056907,          0.00021723,            0.003457,            0.003457,            0.003457
                  67,            0.015795,            0.008975,          0.00086809,             0.99704,             0.99921,             0.99472,             0.82547,            0.011582,           0.0057124,          0.00020949,           0.0033321,           0.0033321,           0.0033321
                  68,            0.015624,           0.0089359,          0.00062447,             0.99712,              0.9992,             0.99483,             0.82827,            0.011442,           0.0056683,          0.00020006,           0.0032093,           0.0032093,           0.0032093
                  69,            0.016406,           0.0093186,           0.0008111,             0.99763,             0.99921,             0.99481,             0.82061,            0.011507,           0.0056574,            0.000203,           0.0030888,           0.0030888,           0.0030888
                  70,            0.015519,           0.0088862,          0.00084533,             0.99793,             0.99863,             0.99484,             0.82734,            0.011401,           0.0056323,          0.00020569,           0.0029706,           0.0029706,           0.0029706
